State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Uninsured_Rank,Uninsured_Value,Year
Nebraska,N,243090.0,18.0,0.249,21.0,187.6,16.0,236.4,37.0,84.4,25.0,77.7,12.0,9.7,48.0,32.5,1.0,7.2,16.0,30.6,16.0,31.9,5.0,77.9,24.0,5.9,35.0,34.1,11.0,6555.0,19.0,158.2,6.0,5.8,5.0,2.8,28.0,8.3,2019
Florida,N,3621088.0,33.0,-0.173,13.0,181.1,17.0,236.7,8.0,89.3,39.0,73.8,40.0,12.6,32.0,27.2,32.0,21.4,35.0,34.6,40.0,35.9,8.0,76.2,28.0,6.1,24.0,30.7,29.0,7739.0,35.0,131.3,27.0,7.6,22.0,3.6,46.0,13.0,2019
Maryland,Y,1317729.0,13.0,0.342,20.0,187.2,32.0,262.1,3.0,91.0,10.0,83.6,34.0,12.0,49.0,32.9,45.0,30.2,26.0,32.4,20.0,32.5,11.0,75.2,35.0,6.5,25.0,30.9,28.0,7689.0,9.0,192.1,33.0,8.0,35.0,4.2,15.0,6.1,2019
Delaware,Y,246494.0,27.0,-0.012,37.0,201.3,28.0,256.4,5.0,90.2,14.0,81.7,33.0,11.9,20.0,25.0,42.0,29.2,40.0,34.9,35.0,34.6,6.0,77.1,41.0,7.3,33.0,33.5,35.0,8268.0,17.0,166.2,21.0,7.4,24.0,3.8,13.0,5.7,2019
Missouri,N,833914.0,38.0,-0.252,39.0,206.3,40.0,295.3,26.0,85.6,28.0,76.6,29.0,11.5,25.0,26.3,30.0,21.1,24.0,32.0,33.0,34.3,21.0,71.2,33.0,6.4,42.0,35.0,38.0,8828.0,15.0,171.5,16.0,6.8,12.0,3.2,33.0,9.3,2019
Rhode Island,Y,290961.0,10.0,0.384,27.0,191.7,14.0,234.5,4.0,90.5,3.0,86.1,25.0,10.9,44.0,31.5,44.0,29.7,33.0,33.1,24.0,33.0,14.0,74.4,26.0,6.0,10.0,27.7,13.0,6602.0,1.0,274.9,21.0,7.4,30.0,4.1,4.0,4.4,2019
Connecticut,Y,847287.0,4.0,0.574,8.0,174.2,5.0,219.8,1.0,91.4,9.0,84.2,12.0,9.7,41.0,30.7,40.0,26.4,14.0,30.5,18.0,32.2,10.0,75.3,8.0,4.7,7.0,27.4,4.0,6091.0,4.0,220.0,44.0,8.9,30.0,4.1,8.0,5.4,2019
Kansas,N,374705.0,30.0,-0.034,29.0,194.7,31.0,261.8,32.0,84.8,25.0,77.7,31.0,11.6,10.0,21.6,6.0,11.6,31.0,32.8,30.0,34.1,32.0,69.5,26.0,6.0,38.0,34.4,26.0,7608.0,32.0,138.1,8.0,6.0,15.0,3.4,31.0,8.8,2019
Colorado,Y,1266840.0,11.0,0.343,3.0,163.1,2.0,207.2,24.0,86.0,37.0,74.0,1.0,7.0,50.0,37.6,20.0,16.6,2.0,25.9,5.0,30.3,23.0,71.0,8.0,4.7,1.0,22.9,8.0,6288.0,27.0,143.4,12.0,6.3,13.0,3.3,23.0,7.5,2019
North Carolina,N,1730817.0,32.0,-0.14800000000000002,32.0,196.1,29.0,257.2,20.0,86.7,23.0,78.0,36.0,12.5,46.0,31.7,26.0,19.5,36.0,34.7,39.0,35.5,25.0,70.9,39.0,7.1,31.0,33.0,36.0,8276.0,33.0,134.4,24.0,7.5,24.0,3.8,41.0,10.7,2019
Indiana,Y,1461776.0,44.0,-0.325,41.0,209.5,37.0,282.6,40.0,83.4,19.0,79.8,36.0,12.5,14.0,22.9,36.0,23.7,41.0,35.2,30.0,34.1,46.0,66.3,43.0,7.4,35.0,34.1,39.0,8995.0,38.0,127.2,15.0,6.6,18.0,3.5,28.0,8.3,2019
